key,gmods,col,stat,mpkey,code,section,crn,title,yc_attrs,ci_attrs,description,hours,regnotes,rp_attr,instructordetail_html,meeting_html,final_exam,resources,last_updated,srcdb
11,"Y,1,A,Q,F,C,2,3,7,4,G,K,L,8,Z,5,M,6,9,D,X,U",YC,A,2039,AFAM 346,01,11399,Black Atlantic Photography,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>Introduction to the social and artistic history of photography in Black Atlantic contexts from the mid-nineteenth century to the present. Uses of the photographic image in shaping understandings of race relations and black identities. Codes and conventions by which photographs are evaluated in terms of truth, reflection, testimony, expressivity, and construction.</p>",1,,,"<div class=""instructor-detail"">Kobena Mercer</div>","<div class=""meet"">W 2:30pm-4:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
12,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,C,1,AFAM 358,01,12640,Ethnography of Policing and Race,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>Ethnography is the systematic study of culture and a method of knowledge production utilized by social scientists to apprehend, comprehend, and represent cultural groups and other social phenomena. This course explores the ethnographic representations of policing historically alongside the American construction of race. It explores the complex nature of policing in racially concentrated contexts. Additionally, it explores the warrants of ethnography as it relates to the study of policing and race. Students examine the tension between typical racial minorities and policing and the experiences of various other racialize groups that have appeared in and fallen out of focus as targets for racialize police contact.</p>",1,,,,,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
13,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2067,AFAM 363,02,14314,Blackness and Mysticism,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>The focus on Blackness and Mysticism is to consider the long history of western constructions of the human as an enduring project of racialization. This course considers the concepts of mystic, mysticism, mystical and how they announce the possibility for European personhood that is also modern global racialization. We also consider alternatives to the European thought process, a way to think blackness and its relation to, its disruption of, these concepts.</p>",1,,,,"<div class=""meet"">T 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
14,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2058,AFAM 390,01,12072,Ethnography of the African American Community,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>An ethnographic study of the African American community. Analysis of ethnographic and historical literature, with attention to substantive, conceptual, and methodological issues. Topics include the significance of slavery, the racial ghetto, structural poverty, the middle class, the color line, racial etiquette, and social identity.</p>",1,,,"<div class=""instructor-detail"">Elijah Anderson</div>","<div class=""meet"">M 1:30pm-3:20pm<span class=""meet-room-201803""> in WALL81 101</span></div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
15,"Y,1,A,Q,F,C,2,3,7,4,G,K,L,8,Z,5,M,6,9,D,X,U",YC,A,2099,AFAM 428,01,11894,Dance and Black Popular Culture,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Writing</li></ul>,,"<p>Examination of dance in black popular culture and of black dance in American popular culture, more generally, from 19th-century slave dances and blackface minstrelsy through MTV and Beyoncé’s <em>Lemonade</em>. Course materials include primary source documents from the white and black press, theoretical and historical essays, and film.</p>",1,,,"<div class=""instructor-detail"">Brian Seibert</div>","<div class=""meet"">M 3:30pm-5:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
16,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2067,AFAM 440,01,11148,Intercultural Literary Hoaxes,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>Study of literary works that test the bounds of propriety by borrowing or stealing an alien identity and passing the imposture off as authentic. Cases in Anglo-American and French-Francophone literature, ranging from the hilarious to the reprehensible. Attention to issues in the ethics of representation. Works include Diderot, Mérimée, George Eliot, pseudo-slave narratives, Camara Laye, Romain Gary, Forrest Carter, JT LeRoy, Paul Smaïl, Margaret B. Jones, and Misha Defonseca. </p>
<p class=""prerequisites"">Prerequisite: Reading knowledge of French at the L4 level.</p>",1,,,"<div class=""instructor-detail"">Christopher Miller</div>","<div class=""meet"">T 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
17,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2072,AFAM 449,01,13246,Challenges to Realism in Contemporary African Fiction,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Writing</li></ul>,,"<p>Introduction to experimental African novels that challenge realist and documentary modes of representation. Topics include mythology, gender subversion, politics, the city, migration, and the self. Ways of reading African and postcolonial literature through the lenses of identity, history, and nation.</p>",1,,,"<div class=""instructor-detail"">Stephanie Newell</div>","<div class=""meet"">T 9:25am-11:15am<span class=""meet-room-201803""> in LC 213</span></div>",HTBA,"<a href=""#"" role=""button"" class=""btn"" id=""course_eval_button""data-crn=""13246"" data-srcdb=""201803"" disabled >COURSE EVALUATIONS</a><a title=""Opens in a new window."" role=""button"" class=""btn"" href=""https://yale.instructure.com/courses/39847/assignments/syllabus"" target=""_blank"">SYLLABUS</a><form name=""orderBooks"" class=""book-form"" method=""post"" action=""https://secure.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-999-_-1-_-A"" target=""_blank""><input type=""hidden"" name=""catalogId"" value=""10001"" /><input type=""hidden"" name=""storeId"" value=""16556"" /><input type=""hidden"" name=""termMapping"" value=""N"" /><input type=""hidden"" name=""courseXml"" value='<?xml version=""1.0"" encoding=""UTF-8""?><textbookorder><courses><course dept=""AFAM"" num=""449"" sect=""1"" term=""F18"" /></courses></textbookorder>'/><input type=""submit"" value=""BUY BOOKS"" role=""button"" class=""btn"" ></form>",Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
18,"E,1,A,F,C,2,3,7,4,G,L,8,5,M,6,9,X,U,Y",YC,A,1,AFAM 471,01,10399,Independent Study: African American Studies,,,"<p>Independent research under the direction of a member of the department on a special topic in African American studies not covered in other courses. Permission of the director of undergraduate studies and of the instructor directing the research is required. A proposal signed by the instructor must be submitted to the director of undergraduate studies by the end of the second week of classes. The instructor meets with the student regularly, typically for an hour a week, and the student writes a final paper or a series of short essays.</p>
<p class=""prerequisites"">May be elected for one or two terms.</p>",1,,,"<div class=""instructor-detail"">Anthony Reed</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
19,"Y,1,A,Q,F,C,2,3,7,4,G,L,8,5,M,6,9,X,U",YC,A,2192,AFAM 480,01,10400,Senior Colloquium: African American Studies,,,"<p>A seminar on issues and approaches in African American studies. The colloquium offers students practical help in refining their senior essay topics and developing research strategies. Students discuss assigned readings and share their research experiences and findings. During the term, students are expected to make substantial progress on their senior essays; they are required to submit a prospectus, an annotated bibliography, and a draft of one-quarter of the essay.</p>",1,,,"<div class=""instructor-detail"">Crystal Feimster</div>","<div class=""meet"">M 9:25am-11:15am</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
30,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2021,AFST 015,01,10940,South African Writing after Apartheid,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Writing</li></ul>,,"<p>An introduction to creative writing published in South Africa from the end of Apartheid in 1994 to the present. Close readings of contemporary fiction with additional material drawn from popular culture, including films, magazines, and music.</p>
<p class=""prerequisites"">Enrollment limited to first-year students. Preregistration required; see under First-Year Seminar Program.</p>",1,,,"<div class=""instructor-detail"">Stephanie Newell</div>","<div class=""meet"">TTh 11:35am-12:50pm<span class=""meet-room-201803""> in LC 213</span></div>",HTBA,"<a href=""#"" role=""button"" class=""btn"" id=""course_eval_button""data-crn=""10940"" data-srcdb=""201803"" data-action=""login,course-evals"" >COURSE EVALUATIONS</a><a title=""Opens in a new window."" role=""button"" class=""btn"" href=""https://yale.instructure.com/courses/39776/assignments/syllabus"" target=""_blank"">SYLLABUS</a><form name=""orderBooks"" class=""book-form"" method=""post"" action=""https://secure.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-999-_-1-_-A"" target=""_blank""><input type=""hidden"" name=""catalogId"" value=""10001"" /><input type=""hidden"" name=""storeId"" value=""16556"" /><input type=""hidden"" name=""termMapping"" value=""N"" /><input type=""hidden"" name=""courseXml"" value='<?xml version=""1.0"" encoding=""UTF-8""?><textbookorder><courses><course dept=""AFST"" num=""015"" sect=""1"" term=""F18"" /></courses></textbookorder>'/><input type=""submit"" value=""BUY BOOKS"" role=""button"" class=""btn"" ></form>",Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
31,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2019,AFST 184,01,10392,The Rise and Fall of Atlantic Slavery,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>The history of peoples of African descent throughout the Americas, from the first African American societies of the sixteenth century through the century-long process of emancipation.</p>",1,,,"<div class=""instructor-detail"">Edward Rugemer</div>","<div class=""meet"">HTBA</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
32,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T",YC,A,2021,AFST 238,01,11061,Introduction to Third World Studies,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,<p>Introduction to the historical and contemporary theories and articulations of Third World studies (comparative ethnic studies) as an academic field and practice. Consideration of subject matters; methodologies and theories; literatures; and practitioners and institutional arrangements.</p>,1,,,"<div class=""instructor-detail"">Gary Okihiro</div>","<div class=""meet"">TTh 11:35am-12:50pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
33,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2021,AFST 262,01,12249,Traditional and Contemporary Musics of Sub-Saharan Africa,This course can be applied towards the <i>Writing</i> Yale College distributional requirement.,,"<p>A survey of the traditional and popular musics of black Africa, organized both by nation, such as Ghana, and by region, such as Senegambia. Introduction to the fundamental musical principles, materials, and performance contexts of African music.</p>",1,,,"<div class=""instructor-detail"">Michael Veal</div>","<div class=""meet"">TTh 11:35am-12:50pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
34,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,1,AFST 306,01,10409,Social Enterprise in Developing Economies II,,,"<p>Summer research developed into a case-study project on a topic related to the use of social enterprise in regional economic development.</p>
<p class=""prerequisites""><a href=""/search/?p=GLBL%20305"" data-action=""result-detail"" data-group=""code:GLBL 305""  class=""notoffered"">GLBL 305</a></p>",1,,,"<div class=""instructor-detail"">Robert Hopkins</div>",,HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
35,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2076,AFST 324,01,13677,Nelson Mandela,,,"<p>A study of Nelson Mandela’s life and career and the political and philosophical questions his career engages. Students examine his ideas on race and on the colonial experience and compare them to those of Mohandas Gandhi and Franz Fanon. Students also read recent philosophical work on forgiveness in order to critically assess Mandela’s politics of reconciliation. Examination of Mandela as a global celebrity, as well as the political career of Winnie Mandela.</p>",1,,,"<div class=""instructor-detail"">Jonathan Steinberg</div>","<div class=""meet"">W 3:30pm-5:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
36,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2029,AFST 333,01,11335,African Encounters with Colonialism,This course can be applied towards the <i>Humanities and Arts</i> Yale College distributional requirement.,,"<p>How African societies and peoples encountered, engaged, and endured the colonial and postcolonial world, from the arrival of Kiswahili-speaking traders at the shores of Lake Victoria in the 1840s through the rise and fall of European colonialism and the resulting forms of neocolonialism. Transformations and continuities in African religious life; gendered sociability; popular culture.</p>",1,,,"<div class=""instructor-detail"">Daniel Magaziner</div>","<div class=""meet"">MW 11:35am-12:25pm<span class=""meet-room-201803""> in WLH 119</span></div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
37,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2095,AFST 366,01,13681,"Bureaucracy in Africa: Revolution, Genocide, and Apartheid",,,"<p>A study of three major episodes in modern African history characterized by ambitious projects of bureaucratically driven change—apartheid and its aftermath, Rwanda’s genocide and post-genocide reconstruction, and Ethiopia’s revolution and its long aftermath. Examination of Weber’s theory bureaucracy, Scott’s thesis on high modernism, Bierschenk’s attempts to place African states in global bureaucratic history. Overarching theme is the place of bureaucratic ambitions and capacities in shaping African trajectories.</p>",1,,,"<div class=""instructor-detail"">Jonathan Steinberg</div>","<div class=""meet"">Th 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
38,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2072,AFST 372,01,12075,Comparative Nationalism in North Africa and the Middle East,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>The rise of nationalism in the Maghreb (or Arab West) and Mashriq (or Arab East). Introduction to major debates about nationalism; the influence of transnational (pan-Islamic and pan-Arab) ideologies, ethnicity, gender, and religion. Case studies include Egypt, Iraq, Israel, Palestine, Jordan, Saudi Arabia, the Gulf monarchies, Morocco, Western Sahara, Algeria, and Berber and Kurdish movements.</p>",1,,,"<div class=""instructor-detail"">Jonathan Wyrtzen</div>","<div class=""meet"">HTBA</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
39,"Y,1,A,Q,F,C,2,3,7,4,G,K,W,L,8,Z,5,H,M,6,9,X,I,U",YC,A,2142,AFST 382,01,10411,Child Health and Development in Africa,This course can be applied towards the <i>Social Sciences</i> Yale College distributional requirement.,,"<p>Examination of the most critical issues and trends in child health, child survival and development, and efforts to incorporate priorities of children and future generations after the adoption of the 2030 Agenda for Sustainable Development in 2015 by the United Nations General Assembly.</p>",1,,,"<div class=""instructor-detail"">Nicholas Alipui</div>","<div class=""meet"">F 3:30pm-5:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
40,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2058,AFST 414,01,11145,Afterlives of Algeria's Revolution,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Language (5)</li></ul>,,"<p>The Algerian War for Independence from France was the longest and most violent decolonizing war of the 20th century. This war and its aftermath transformed political, social, intellectual, and artistic life on both sides of the Mediterranean–and it became a model for other decolonizing and civil rights movements across the world. Memory of this war continues to shape current debates in Europe and North Africa about state violence, terrorism, racism, censorship, immigration, feminism, human rights, and justice. Through study of fiction, film, testimonies, graphic novels, and theater, this seminar charts the war's surprising and enduring legacies. Films may include Pontecorvo's <em>The Battle of Algiers,</em> Haneke's <em>Caché,</em> and Panijel's Octobre à Paris. Literary works by Djebar, Camus, Sebbar, Etcherelli, Dib, Cixous, Kateb, Fanon, De Beauvoir, Mechakra.</p>
<p class=""prerequisites"">The course is conducted in French. If you have any questions about your French ability, contact the instructor.</p>",1,,,"<div class=""instructor-detail"">Jill Jarvis</div>","<div class=""meet"">M 1:30pm-3:20pm</div>",HTBA,,Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
41,"Y,1,A,Q,F,C,V,2,3,7,4,G,K,J,W,L,8,Z,5,H,M,6,N,9,D,B,X,I,P,R,O,U,S,T,E",YC,A,2072,AFST 449,01,13247,Challenges to Realism in Contemporary African Fiction,This course can be applied towards the following Yale College distributional requirements: <ul><li>Humanities and Arts</li><li>Writing</li></ul>,,"<p>Introduction to experimental African novels that challenge realist and documentary modes of representation. Topics include mythology, gender subversion, politics, the city, migration, and the self. Ways of reading African and postcolonial literature through the lenses of identity, history, and nation.</p>",1,,,"<div class=""instructor-detail"">Stephanie Newell</div>","<div class=""meet"">T 9:25am-11:15am<span class=""meet-room-201803""> in LC 213</span></div>",HTBA,"<a href=""#"" role=""button"" class=""btn"" id=""course_eval_button""data-crn=""13247"" data-srcdb=""201803"" data-action=""login,course-evals"" >COURSE EVALUATIONS</a><a title=""Opens in a new window."" role=""button"" class=""btn"" href=""https://yale.instructure.com/courses/39847/assignments/syllabus"" target=""_blank"">SYLLABUS</a><form name=""orderBooks"" class=""book-form"" method=""post"" action=""https://secure.bncollege.com/webapp/wcs/stores/servlet/TBListView?cm_mmc=RI-_-999-_-1-_-A"" target=""_blank""><input type=""hidden"" name=""catalogId"" value=""10001"" /><input type=""hidden"" name=""storeId"" value=""16556"" /><input type=""hidden"" name=""termMapping"" value=""N"" /><input type=""hidden"" name=""courseXml"" value='<?xml version=""1.0"" encoding=""UTF-8""?><textbookorder><courses><course dept=""AFST"" num=""449"" sect=""1"" term=""F18"" /></courses></textbookorder>'/><input type=""submit"" value=""BUY BOOKS"" role=""button"" class=""btn"" ></form>",Sun Jul 29 2018 11:34:55 GMT-0500 (CDT),201803
